Time(s), Acceleration_X, Acceleration_Y, Acceleration_Z, Gyro_X(dps), Gyro_Y(dps), Gyro_Z(dps), Magnetometer_X, Magnetometer_Y, Magnetometer_Z
0.002981663,-0.006591797,0.001220703,-1.136474609,0.061035156,-0.915527344,-0.305175781,-15.23403159,17.74316621,21.59765148
0.0128901,-0.010986328,-0.001220703,-1.137695313,0.152587891,-0.823974609,-0.305175781,-15.23403159,17.74316621,21.59765148
0.022778034,-0.012939453,0.001708984,-1.130615234,0.274658203,-0.793457031,-0.274658203,-15.23403159,17.74316621,21.59765148
0.032667398,-0.010253906,0.004150391,-1.135986328,0.122070313,-0.640869141,-0.061035156,-15.23403159,17.74316621,21.59765148
0.042548895,-0.009521484,0.002441406,-1.129882813,0.030517578,-1.007080078,0.061035156,-14.51713599,18.81850962,22.63433875
0.052451611,-0.017089844,0.000976563,-1.138916016,0.122070313,-0.854492188,0.061035156,-15.23403159,18.46006181,23.3254636
0.062342167,-0.015380859,0.000976563,-1.123779297,-0.030517578,-0.946044922,-0.122070313,-15.5924794,16.6678228,22.97990118
0.072229147,-0.010742188,0,-1.139648438,0.030517578,-0.854492188,-0.122070313,-15.5924794,20.61074863,22.97990118
0.082123756,-0.013427734,0.000732422,-1.130615234,0.122070313,-0.793457031,0.030517578,-13.44179258,20.61074863,22.28877633
0.09200716,-0.013916016,0.002685547,-1.140869141,0.183105469,-0.762939453,0.152587891,-15.05480769,17.92239011,21.77043269
0.101887941,-0.017822266,0.001708984,-1.13671875,-0.030517578,-0.823974609,0,-15.9509272,19.89385302,22.97990118
0.111766577,-0.018798828,0.004638672,-1.125244141,0.091552734,-0.946044922,-0.183105469,-15.9509272,19.89385302,22.97990118
0.121647358,-0.010742188,0.007568359,-1.131103516,0.091552734,-0.701904297,-0.213623047,-15.9509272,19.89385302,22.97990118
0.131528378,-0.014892578,-0.001220703,-1.135498047,0.091552734,-0.885009766,0.030517578,-15.9509272,19.89385302,22.97990118
0.141407728,-0.018066406,-0.000488281,-1.135253906,-0.061035156,-0.579833984,-0.274658203,-15.9509272,19.89385302,22.97990118
0.151287317,-0.012939453,-0.004882813,-1.131103516,-0.152587891,-0.732421875,-0.061035156,-15.7717033,16.1301511,21.77043269
0.161166191,-0.017333984,0.001464844,-1.141357422,-0.061035156,-1.098632813,-0.396728516,-13.80024038,18.46006181,21.25208906
0.171045303,-0.011230469,0.00390625,-1.137695313,0.061035156,-0.823974609,-0.152587891,-15.41325549,17.56394231,21.77043269
